name,target,predicted,0_prob,1_prob
G0623471.JPG,0,0,16.970137,-14.586877,
G0623472.JPG,0,0,23.405136,-21.326138,
G0623473.JPG,0,0,16.893959,-13.775715,
G0623474.JPG,0,0,15.771333,-13.412895,
G0623475.JPG,0,0,20.196165,-18.297667,
G0623476.JPG,0,0,21.326775,-20.211674,
G0623477.JPG,0,0,27.41723,-26.780977,
G0623478.JPG,0,0,19.382454,-17.633677,
G0623479.JPG,1,1,-4.274473,7.4521995,
G0623480.JPG,0,1,-8.412723,11.723914,
G0623481.JPG,0,0,22.144611,-20.408958,
G0623482.JPG,0,0,27.754202,-27.719988,
G0623483.JPG,0,0,25.876186,-25.876478,
G0623484.JPG,0,0,29.02706,-28.749033,
G0623485.JPG,0,0,28.180145,-27.695805,
G0623486.JPG,0,0,22.575348,-21.804174,
G0623487.JPG,0,0,18.322424,-16.94344,
G0623488.JPG,1,1,-13.895682,16.90013,
G0623489.JPG,0,0,22.361692,-21.857912,
G0623490.JPG,0,0,32.143505,-33.01181,
G0623491.JPG,0,0,33.82116,-34.197292,
G0623492.JPG,0,0,24.602278,-23.341684,
G0623493.JPG,0,0,28.07256,-27.968508,
G0623494.JPG,0,0,15.755059,-14.039486,
G0623495.JPG,1,1,-13.062113,15.963145,
G0623496.JPG,0,0,23.30627,-21.718735,
G0623497.JPG,0,0,25.832521,-25.417788,
G0623498.JPG,0,0,30.638607,-30.6719,
G0623499.JPG,0,0,28.269566,-27.922153,
G0623500.JPG,0,0,25.570894,-24.584661,
G0623501.JPG,0,0,23.03251,-22.301086,
G0623502.JPG,0,0,18.22138,-16.933172,
G0623503.JPG,1,1,-13.026731,16.02015,
G0623504.JPG,0,0,25.952509,-25.693665,
G0623505.JPG,0,0,34.64396,-36.165707,
G0623506.JPG,0,0,23.805805,-23.32733,
G0623507.JPG,0,0,27.485264,-26.848017,
G0623508.JPG,0,0,25.95939,-26.31528,
G0623509.JPG,0,0,16.14986,-14.762356,
G0623510.JPG,1,1,-4.8652763,8.271775,
G0623511.JPG,0,0,18.797201,-16.800549,
G0623512.JPG,0,0,27.56945,-27.588509,
G0623513.JPG,0,0,29.494642,-28.716208,
G0623514.JPG,0,0,27.521067,-26.47133,
G0623515.JPG,0,0,24.36798,-22.79271,
G0623516.JPG,0,0,23.719126,-22.53471,
G0623517.JPG,0,0,7.618992,-4.5706058,
G0623518.JPG,1,1,-7.0140142,10.194985,
G0623519.JPG,0,0,33.57244,-34.55666,
G0623520.JPG,0,0,31.300655,-31.557474,
G0623521.JPG,0,0,27.905167,-27.685694,
G0623522.JPG,0,0,24.762571,-23.840252,
G0623523.JPG,0,0,25.447765,-25.33936,
G0623524.JPG,0,0,6.9954796,-3.8455274,
G0623525.JPG,1,0,4.4090624,-1.4166758,
G0623526.JPG,0,0,27.755388,-27.03373,
