name,predicted,target
G0361084.JPG,0,0
G0361085.JPG,0,0
G0361086.JPG,0,0
G0361087.JPG,0,0
G0361088.JPG,0,0
G0361089.JPG,0,0
G0361090.JPG,0,0
G0361091.JPG,0,0
G0361092.JPG,0,0
G0361093.JPG,0,1
G0361094.JPG,0,0
G0361095.JPG,0,0
G0361096.JPG,0,0
G0361097.JPG,0,0
G0361098.JPG,0,0
G0361099.JPG,0,0
G0361100.JPG,0,0
G0361101.JPG,0,1
G0361102.JPG,0,0
G0361103.JPG,0,0
G0361104.JPG,0,0
G0361105.JPG,0,0
G0361106.JPG,0,0
G0361107.JPG,0,0
G0361108.JPG,0,1
G0361109.JPG,0,0
G0361110.JPG,0,0
G0361111.JPG,0,0
G0361112.JPG,0,0
G0361113.JPG,0,0
G0361114.JPG,0,0
G0361115.JPG,0,1
G0361116.JPG,0,0
G0361117.JPG,0,0
G0361118.JPG,0,0
G0361119.JPG,0,0
G0361120.JPG,0,0
G0361121.JPG,0,0
G0361122.JPG,0,0
G0361123.JPG,0,1
G0361124.JPG,0,0
G0361125.JPG,0,0
G0361126.JPG,0,0
G0361127.JPG,0,0
G0361128.JPG,0,0
G0361129.JPG,0,0
G0361130.JPG,0,1
G0361131.JPG,0,0
G0361132.JPG,0,0
G0361133.JPG,0,0
G0361134.JPG,0,0
G0361135.JPG,0,0
G0361136.JPG,0,0
G0361137.JPG,0,1
G0361138.JPG,0,0
G0361139.JPG,0,0
G0361140.JPG,0,0
G0361141.JPG,0,0
G0361142.JPG,0,0
G0361143.JPG,0,0
G0361144.JPG,0,0
G0361145.JPG,0,1
G0361146.JPG,0,0
G0361147.JPG,0,0
G0361148.JPG,0,0
G0361149.JPG,0,0
G0361150.JPG,0,0
G0361151.JPG,0,0
G0361152.JPG,0,1
G0361153.JPG,0,0
G0361154.JPG,0,0
G0361155.JPG,0,0
G0361156.JPG,0,0
G0361157.JPG,0,0
G0361158.JPG,0,0
G0361159.JPG,0,0
