name,probability,predicted,target
G0361084.JPG,[4.234273   0.05517337],0,0
G0361085.JPG,[ 5.54119   -1.1786664],0,0
G0361086.JPG,[ 7.003167  -3.1640258],0,0
G0361087.JPG,[10.064258 -5.744166],0,0
G0361088.JPG,[ 24.631886 -22.006865],0,0
G0361089.JPG,[ 20.394773 -17.589626],0,0
G0361090.JPG,[ 18.748442 -15.766352],0,0
G0361091.JPG,[ 15.044847  -12.7227545],0,0
G0361092.JPG,[11.818358 -9.377813],0,0
G0361093.JPG,[-5.0260096  8.559035 ],1,1
G0361094.JPG,[-2.9518204  6.6908803],1,0
G0361095.JPG,[ 19.98448  -18.823292],0,0
G0361096.JPG,[ 25.662039 -24.733707],0,0
G0361097.JPG,[ 27.39024  -26.704355],0,0
G0361098.JPG,[ 26.800734 -25.228445],0,0
G0361099.JPG,[ 24.699121 -22.364353],0,0
G0361100.JPG,[ 13.51051  -10.754181],0,0
G0361101.JPG,[-9.270605 12.662172],1,1
G0361102.JPG,[-0.6731952  4.068346 ],1,0
G0361103.JPG,[ 15.499891 -13.232226],0,0
G0361104.JPG,[ 21.963158 -20.862017],0,0
G0361105.JPG,[ 21.964426 -20.2818  ],0,0
G0361106.JPG,[ 24.394306 -23.068468],0,0
G0361107.JPG,[ 18.728533 -16.536043],0,0
G0361108.JPG,[-10.744077  14.105412],1,1
G0361109.JPG,[-0.49521405  4.1941338 ],1,0
G0361110.JPG,[ 24.559046 -24.122366],0,0
G0361111.JPG,[ 26.840445 -26.916468],0,0
G0361112.JPG,[ 28.182924 -27.663412],0,0
G0361113.JPG,[ 26.311468 -25.587246],0,0
G0361114.JPG,[ 19.177244 -17.859365],0,0
G0361115.JPG,[ 8.4689865 -6.0366874],0,1
G0361116.JPG,[-2.843086   5.9525576],1,0
G0361117.JPG,[ 17.295853 -15.210367],0,0
G0361118.JPG,[ 25.666365 -24.493511],0,0
G0361119.JPG,[ 20.60468  -18.252224],0,0
G0361120.JPG,[ 26.150185 -25.048943],0,0
G0361121.JPG,[ 26.542328 -25.109919],0,0
G0361122.JPG,[11.3667965 -8.503219 ],0,0
G0361123.JPG,[-7.5848017 10.76185  ],1,1
G0361124.JPG,[11.839907 -8.386956],0,0
G0361125.JPG,[ 25.121717 -24.023884],0,0
G0361126.JPG,[ 19.923784 -17.552702],0,0
G0361127.JPG,[ 24.560455 -22.647352],0,0
G0361128.JPG,[ 22.967592 -20.278452],0,0
G0361129.JPG,[ 13.733209 -11.102393],0,0
G0361130.JPG,[-1.7317394  5.043743 ],1,1
G0361131.JPG,[1.4847137 2.5588596],1,0
G0361132.JPG,[ 24.097366 -23.201515],0,0
G0361133.JPG,[ 22.903181 -21.203087],0,0
G0361134.JPG,[ 18.117966 -15.650623],0,0
G0361135.JPG,[ 21.839478 -20.02404 ],0,0
G0361136.JPG,[ 15.240393 -12.746915],0,0
G0361137.JPG,[ 3.4857862  -0.17483974],0,1
G0361138.JPG,[-3.4889557  6.7464204],1,0
G0361139.JPG,[ 25.570122 -24.832994],0,0
G0361140.JPG,[ 35.239716 -36.58943 ],0,0
G0361141.JPG,[ 23.637596 -21.841639],0,0
G0361142.JPG,[ 29.006813 -28.608578],0,0
G0361143.JPG,[ 23.284573 -21.876806],0,0
G0361144.JPG,[ 16.563608 -14.041713],0,0
G0361145.JPG,[-7.386113 10.939314],1,1
G0361146.JPG,[-1.9460492  4.9742093],1,0
G0361147.JPG,[ 27.496798 -27.5748  ],0,0
G0361148.JPG,[ 28.054052 -27.80658 ],0,0
G0361149.JPG,[ 27.772692 -26.810682],0,0
G0361150.JPG,[ 26.70921  -25.804495],0,0
G0361151.JPG,[ 23.793571 -22.608902],0,0
G0361152.JPG,[-0.09156784  2.9582517 ],1,1
G0361153.JPG,[ 6.522033  -3.2458525],0,0
G0361154.JPG,[ 22.163792 -21.36941 ],0,0
G0361155.JPG,[ 23.618553 -22.573961],0,0
G0361156.JPG,[ 32.436005 -32.836433],0,0
G0361157.JPG,[ 13.731953 -11.28601 ],0,0
G0361158.JPG,[ 24.76324 -23.49642],0,0
