name,predicted,target
G0733247.JPG,0,0
G0733248.JPG,0,0
G0733249.JPG,0,0
G0733250.JPG,0,0
G0733251.JPG,0,0
G0733252.JPG,0,0
G0733253.JPG,0,0
G0733254.JPG,0,0
G0733255.JPG,1,1
G0733256.JPG,0,0
G0733257.JPG,0,0
G0733258.JPG,0,0
G0733259.JPG,0,0
G0733260.JPG,0,0
G0733261.JPG,0,0
G0733262.JPG,1,1
G0733263.JPG,0,0
G0733264.JPG,0,0
G0733265.JPG,0,0
G0733266.JPG,0,0
G0733267.JPG,0,0
G0733268.JPG,1,1
G0733269.JPG,0,0
G0733270.JPG,0,0
G0733271.JPG,0,0
G0733272.JPG,0,0
G0733273.JPG,0,0
G0733274.JPG,0,0
G0733275.JPG,1,1
G0733276.JPG,0,0
G0733277.JPG,0,0
G0733278.JPG,0,0
G0733279.JPG,0,0
G0733280.JPG,0,0
G0733281.JPG,0,0
G0733282.JPG,1,1
G0733283.JPG,0,0
G0733284.JPG,0,0
G0733285.JPG,0,0
G0733286.JPG,0,0
G0733287.JPG,0,0
G0733288.JPG,0,0
G0733289.JPG,1,1
G0733290.JPG,0,0
G0733291.JPG,0,0
G0733292.JPG,0,0
G0733293.JPG,0,0
G0733294.JPG,0,0
G0733295.JPG,1,1
G0733296.JPG,0,0
G0733297.JPG,0,0
G0733298.JPG,0,0
G0733299.JPG,0,0
G0733300.JPG,0,0
G0733301.JPG,0,0
G0733302.JPG,1,1
G0733303.JPG,0,0
G0733304.JPG,0,0
G0733305.JPG,0,0
G0733306.JPG,0,0
G0733307.JPG,0,0
G0733308.JPG,0,1
G0733309.JPG,0,0
G0733310.JPG,0,0
G0733311.JPG,0,0
G0733312.JPG,0,0
G0733313.JPG,0,0
G0733314.JPG,0,0
G0733315.JPG,0,0
G0733316.JPG,1,1
G0733317.JPG,0,0
G0733318.JPG,0,0
G0733319.JPG,0,0
G0733320.JPG,0,0
G0733321.JPG,0,0
G0733322.JPG,0,0
G0733323.JPG,1,1
G0733324.JPG,0,0
G0733325.JPG,0,0
G0733326.JPG,0,0
G0733327.JPG,0,0
G0733328.JPG,0,0
G0733329.JPG,1,1
G0733330.JPG,1,0
G0733331.JPG,0,0
G0733332.JPG,0,0
G0733333.JPG,0,0
G0733334.JPG,0,0
G0733335.JPG,0,0
G0733336.JPG,1,1
G0733337.JPG,0,0
G0733338.JPG,0,0
G0733339.JPG,0,0
G0733340.JPG,0,0
G0733341.JPG,0,0
G0733342.JPG,0,0
G0733343.JPG,1,1
G0733344.JPG,0,0
G0733345.JPG,0,0
G0733346.JPG,0,0
G0733347.JPG,0,0
G0733348.JPG,0,0
G0733349.JPG,1,1
