,name,predicted,target,prob_0,prob_1,softmax_0,softmax_1,naive_based,prob_based,softmax_based
0,G0025869.JPG,0,0,15.886877059936523,-9.485315322875977,1.0,9.571871940894372e-12,0,0,0
1,G0025870.JPG,0,0,21.7951774597168,-14.11205768585205,1.0,2.544991487551126e-16,0,0,0
2,G0025871.JPG,0,0,21.588314056396484,-13.73737335205078,1.0,4.55248868930138e-16,0,0,0
3,G0025872.JPG,0,0,15.851256370544434,-9.37908172607422,1.0,1.1030697188996186e-11,0,0,0
4,G0025873.JPG,0,0,12.629372596740724,-6.952737808227539,1.0,3.130380177296388e-09,0,0,0
5,G0025874.JPG,0,0,10.488460540771484,-5.060842037200928,0.9999998807907104,1.766133124192493e-07,0,0,0
6,G0025875.JPG,1,1,0.1575763076543808,4.734661102294922,0.0101801324635744,0.9898199439048768,1,1,1
7,G0025876.JPG,0,0,3.283896923065185,1.5615164041519165,0.8484352231025696,0.1515648066997528,0,0,0
8,G0025877.JPG,0,0,8.424395561218262,-2.823545455932617,0.999987006187439,1.3033937648287974e-05,0,0,0
9,G0025878.JPG,0,0,22.16737174987793,-14.120314598083496,1.0,1.739636267070882e-16,0,0,0
10,G0025879.JPG,0,0,31.464353561401367,-20.537168502807617,1.0,2.6063090250619245e-23,0,0,0
11,G0025880.JPG,0,0,22.299657821655277,-14.267354011535645,1.0,1.315673512959647e-16,0,0,0
12,G0025881.JPG,0,0,16.201980590820312,-9.990619659423828,1.0,4.214036238014973e-12,0,0,0
13,G0025882.JPG,0,0,16.034442901611328,-9.752209663391112,1.0,6.324111373468e-12,0,0,0
14,G0025883.JPG,0,0,6.1503753662109375,-1.4684572219848633,0.99950909614563,0.0004908737610094,0,0,0
15,G0025884.JPG,1,1,-1.248823642730713,6.373863220214844,0.0004889863193966,0.9995110034942628,1,1,1
16,G0025885.JPG,0,0,10.994120597839355,-5.607111930847168,0.9999998807907104,6.168453126065289e-08,0,0,0
17,G0025886.JPG,0,0,18.240646362304688,-11.086649894714355,1.0,1.833650961104161e-13,0,0,0
18,G0025887.JPG,0,0,16.419614791870117,-9.606768608093262,1.0,4.976061663414244e-12,0,0,0
19,G0025888.JPG,0,0,14.057114601135254,-7.527595520019531,1.0,4.225517713507543e-10,0,0,0
