name,target,predicted,prob_based
G0909363.JPG,1,1,1
G0919610.JPG,0,0,0
G0909447.JPG,0,0,0
G0919565.JPG,0,0,0
G0909330.JPG,1,1,1
G0909224.JPG,0,0,0
G0919730.JPG,0,0,0
G0909559.JPG,1,1,1
G0909313.JPG,0,0,0
G0919627.JPG,0,0,0
G0909201.JPG,1,1,1
G0919631.JPG,0,0,0
G0909298.JPG,0,0,0
G0919591.JPG,0,0,0
G0909321.JPG,0,0,0
G0909207.JPG,0,0,0
G0909286.JPG,0,0,0
G0909150.JPG,0,0,0
G0909400.JPG,0,0,0
G0919567.JPG,0,0,0
G0919718.JPG,0,0,0
G0919756.JPG,0,0,0
G0909393.JPG,0,0,0
G0909511.JPG,1,1,1
G0919727.JPG,0,0,0
G0919625.JPG,0,0,0
G0909311.JPG,0,0,0
G0909407.JPG,0,0,0
G0909139.JPG,0,0,0
G0919715.JPG,1,1,0
G0919619.JPG,0,0,0
G0909241.JPG,1,1,1
G0919772.JPG,0,0,0
G0909454.JPG,0,0,0
G0919747.JPG,0,0,0
G0909377.JPG,1,1,1
G0909378.JPG,0,0,0
G0909213.JPG,0,0,0
G0919588.JPG,1,1,1
G0909482.JPG,0,0,0
G0909192.JPG,0,0,0
G0919602.JPG,1,0,0
G0919594.JPG,1,1,1
G0909481.JPG,0,0,0
G0909252.JPG,0,0,0
G0909248.JPG,1,1,0
G0909141.JPG,1,1,1
G0919721.JPG,0,0,0
G0919633.JPG,0,0,0
G0909209.JPG,0,0,0
G0909472.JPG,0,0,0
G0909490.JPG,0,0,0
G0909394.JPG,0,0,0
G0909312.JPG,0,0,0
G0909294.JPG,0,0,0
G0909402.JPG,0,0,0
G0909235.JPG,1,1,1
G0909556.JPG,0,0,0
G0919656.JPG,0,0,0
G0909208.JPG,1,1,1
G0909315.JPG,0,0,0
G0909188.JPG,1,0,0
G0909387.JPG,0,0,0
G0919703.JPG,0,0,0
G0919697.JPG,0,0,0
G0909177.JPG,0,0,0
G0909452.JPG,0,0,0
G0909383.JPG,1,1,1
G0909299.JPG,0,0,0
G0909389.JPG,0,0,0
G0919595.JPG,0,0,0
G0909307.JPG,0,0,0
G0909486.JPG,0,0,0
G0909202.JPG,0,0,0
G0909414.JPG,0,0,0
G0919738.JPG,0,0,0
G0909271.JPG,0,0,0
G0909494.JPG,0,0,0
G0909546.JPG,0,0,0
G0919658.JPG,0,0,0
G0909331.JPG,0,0,0
G0909531.JPG,1,1,1
G0919707.JPG,0,0,0
G0909163.JPG,0,0,0
G0919676.JPG,0,0,0
G0909164.JPG,0,0,0
G0919679.JPG,0,0,0
G0919720.JPG,0,0,0
G0909232.JPG,0,0,0
G0909239.JPG,0,0,0
G0919671.JPG,0,0,0
G0909403.JPG,0,0,0
G0909361.JPG,0,0,0
G0909439.JPG,0,0,0
G0909155.JPG,0,0,0
G0909550.JPG,0,0,0
G0909548.JPG,0,0,0
G0909523.JPG,0,0,0
G0909460.JPG,0,0,0
G0909190.JPG,0,0,0
G0919673.JPG,0,0,0
G0909234.JPG,0,0,0
G0919698.JPG,0,0,0
G0909305.JPG,0,0,0
G0909135.JPG,0,0,0
G0909196.JPG,0,0,0
G0919684.JPG,0,0,0
G0919734.JPG,0,0,0
G0919680.JPG,0,0,0
G0909236.JPG,0,0,0
G0919689.JPG,0,0,0
G0919728.JPG,1,1,1
G0909469.JPG,0,0,0
G0909539.JPG,0,0,0
G0909533.JPG,0,0,0
G0909477.JPG,1,1,0
G0909525.JPG,1,0,0
G0919615.JPG,1,1,0
G0919568.JPG,1,1,1
G0909350.JPG,0,0,0
G0909180.JPG,0,0,0
G0909263.JPG,0,0,0
G0909356.JPG,1,1,1
G0909549.JPG,0,0,0
G0909480.JPG,0,0,0
G0919771.JPG,0,0,0
G0919723.JPG,0,0,0
G0909250.JPG,0,0,0
G0909563.JPG,0,0,0
G0919600.JPG,0,0,0
G0919585.JPG,0,0,0
G0919577.JPG,0,0,0
G0919618.JPG,0,0,0
G0919678.JPG,0,0,0
G0909142.JPG,0,0,0
G0909417.JPG,1,1,1
G0909162.JPG,0,0,0
G0919710.JPG,0,0,0
